"","Participant","Type","img","Learn_Block","Learn_Trial","Learn_Corr","Learn_RT","NF_Trial","Condition","NF_Corr","NF_RT","Block","Count","Avg_Block"
"1","57533f7c483c14000662f391","Prototype","Images/flowers_9999.png","0",1,1,1.222,NA,"Late",NA,NA,"Learn",2,0
"2","57533f7c483c14000662f391","Prototype","Images/flowers_1111.png","0",2,1,1.271,NA,"Late",NA,NA,"Learn",3,0
"3","57533f7c483c14000662f391","Prototype","Images/flowers_1111.png","0",3,0,1.627,NA,"Late",NA,NA,"Learn",4,0
"4","57533f7c483c14000662f391","Prototype","Images/flowers_9991.png","0",4,1,1.193,NA,"Late",NA,NA,"Learn",5,0
"5","57533f7c483c14000662f391","Prototype","Images/flowers_1119.png","0",5,1,0.9,NA,"Late",NA,NA,"Learn",6,0
"6","57533f7c483c14000662f391","Prototype","Images/flowers_9991.png","0",6,1,1.128,NA,"Late",NA,NA,"Learn",7,0
"7","57533f7c483c14000662f391","Prototype","Images/flowers_9999.png","0",7,1,1.291,NA,"Late",NA,NA,"Learn",8,0
"8","57533f7c483c14000662f391","RuleFollowing","Images/flowers_9919.png","0",8,1,1.273,NA,"Late",NA,NA,"Learn",1,0
"9","57533f7c483c14000662f391","RuleFollowing","Images/flowers_9191.png","0",9,0,1.024,NA,"Late",NA,NA,"Learn",2,0
"10","57533f7c483c14000662f391","Prototype","Images/flowers_9991.png","0",10,1,1.358,NA,"Late",NA,NA,"Learn",9,0
"11","57533f7c483c14000662f391","RuleFollowing","Images/flowers_1911.png","0",11,0,1.201,NA,"Late",NA,NA,"Learn",3,0
"12","57533f7c483c14000662f391","Prototype","Images/flowers_9991.png","0",12,1,1.788,NA,"Late",NA,NA,"Learn",10,0
"13","57533f7c483c14000662f391","RuleFollowing","Images/flowers_9119.png","0",13,1,1.451,NA,"Late",NA,NA,"Learn",4,0
"14","57533f7c483c14000662f391","RuleFollowing","Images/flowers_9191.png","0",14,1,1.493,NA,"Late",NA,NA,"Learn",5,0
"15","57533f7c483c14000662f391","Prototype","Images/flowers_9999.png","0",15,1,1.29,NA,"Late",NA,NA,"Learn",11,0
