"","Participant","Session","Condition","Gender","Age"
"1","1","InLab","Early","F",18
"2","2","InLab","Late","F",18
"3","3","InLab","Early","F",18
"4","4","InLab","Late","M",19
"5","5","InLab","Early","F",18
"6","6","InLab","Late","F",19
"7","8","InLab","Late","M",20
"8","9","InLab","Early","M",21
"9","10","InLab","Late","F",20
"10","11","InLab","Early","F",17
"11","12","InLab","Late","F",20
"12","13","InLab","Early","M",18
"13","14","InLab","Late","F",18
"14","15","InLab","Early","F",18
"15","16","InLab","Late","F",20
"16","17","InLab","Early","F",20
"17","18","InLab","Late","F",18
"18","19","InLab","Early","F",19
"19","20","InLab","Late","F",18
"20","21","InLab","Early","M",19
"21","22","InLab","Late","F",18
"22","23","InLab","Early","F",18
"23","24","InLab","Late","M",18
"24","25","InLab","Early","F",19
"25","26","InLab","Late","F",24
"26","27","InLab","Early","F",18
"27","28","InLab","Late","F",18
"28","29","InLab","Early","F",19
"29","30","InLab","Late","M",17
"30","31","InLab","Early","F",19
"31","32","InLab","Late","M",18
"32","33","InLab","Early","M",18
"33","34","InLab","Late","F",18
"34","35","InLab","Early","F",18
"35","36","InLab","Late","F",20
"36","37","InLab","Early","F",18
"37","38","InLab","Late","F",18
"38","39","InLab","Early","F",19
"39","40","InLab","Late","M",18
"40","41","InLab","Early","F",19
"41","42","InLab","Late","F",19
"42","43","InLab","Early","F",18
"43","45","InLab","Early","F",18
"44","47","InLab","Early","F",18
"45","49","InLab","Early","F",19
"46","50","InLab","Late","M",18
"47","51","InLab","Early","M",40
"48","52","InLab","Late","F",18
"49","53","InLab","Early","F",19
"50","{{198}}","SONA","Late","F",18.6
"51","{{373}}","SONA","Late","M",19.6
"52","{{216}}","SONA","Late","M",18.7
"53","{{241}}","SONA","Late","M",21.6
"54","{{374}}","SONA","Late","F",18.7
"55","{{388}}","SONA","Late","M",20
"56","{{257}}","SONA","Late","M",19.6
"57","{{191}}","SONA","Late","M",20.2
"58","{{269}}","SONA","Late","F",18.7
"59","{{188}}","SONA","Late","F",19.4
"60","{{319}}","SONA","Late","M",21.4
"61","{{190}}","SONA","Late","M",19.1
"62","{{276}}","SONA","Late","F",19.6
"63","{{343}}","SONA","Late","M",20.2
"64","{{219}}","SONA","Late","M",19.9
"65","{{403}}","SONA","Late","M",20.5
"66","{{502}}","SONA","Late","O",20.2
"67","{{406}}","SONA","Late","F",18.6
"68","{{512}}","SONA","Late","F",18.9
"69","{{415}}","SONA","Late","F",18.8
"70","{{252}}","SONA","Early","F",22.4
"71","{{203}}","SONA","Early","M",18.6
"72","{{181}}","SONA","Early","F",20.1
"73","{{301}}","SONA","Early","M",19.9
"74","{{362}}","SONA","Early","F",20.1
"75","{{345}}","SONA","Early","F",20.8
"76","{{432}}","SONA","Early","M",19.5
"77","{{537}}","SONA","Early","F",18.9
"78","{{610}}","SONA","Early","F",20.1
"79","{{534}}","SONA","Early","F",19.5
"80","{{525}}","SONA","Early","O",21.9
"81","{{554}}","SONA","Early","F",19.9
"82","{{528}}","SONA","Early","F",21.9
"83","{{494}}","SONA","Early","F",20.3
