Participant,Session,Gender,Age,Condition,Block,Image,Type,Count,Learn_Block,Learn_Trial,Learn_Corr,Learn_RT,NF_Trial,Memory_Trial,Seen_Unseen,Memory_RT,NF_Corr,NF_RT,Memory_Corr,Avg_Block
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,2,0,1,0,1.675,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,3,0,2,0,1.301,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,4,0,3,1,1.911,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,5,0,4,1,1.259,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,6,0,5,1,0.502,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,7,0,6,1,0.444,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,8,0,7,0,0.421,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,9,0,8,0,1.052,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,1,0,9,1,0.544,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,2,0,10,0,0.464,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,10,0,11,1,1.25,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,1,0,12,0,0.735,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,3,0,13,1,1.229,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,11,0,14,1,1.815,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,2,0,15,0,0.99,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,12,0,16,0,1.235,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,3,0,17,1,1.249,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,4,0,18,1,1.427,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,5,0,19,1,0.641,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,13,0,20,0,1.155,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,4,0,21,0,0.902,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,14,0,22,1,1.097,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,15,0,23,1,1.474,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,6,0,24,1,1.069,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,5,0,25,1,0.941,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,16,0,26,1,0.729,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,6,0,27,1,0.868,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,17,0,28,1,0.772,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,7,0,29,1,0.648,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,18,0,30,1,0.551,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,8,0,31,1,0.534,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,7,0,32,0,0.631,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,19,0,33,1,0.913,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,8,0,34,1,0.947,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,9,0,35,1,0.786,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,20,0,36,0,0.74,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,9,0,37,1,0.719,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,10,0,38,1,0.918,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,21,0,39,1,0.803,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,10,0,40,0,0.652,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,22,0,41,1,0.97,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,11,0,42,0,1.136,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,12,0,43,1,1.265,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,11,0,44,1,1.143,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,23,0,45,0,0.566,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,12,0,46,0,0.68,NA,NA,NA,NA,NA,NA,NA,0
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,24,0,47,1,1.002,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,25,1,0,1,0.891,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,26,1,1,0,0.583,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,13,1,2,1,0.453,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,27,1,3,1,1.167,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,28,1,4,0,1.451,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,13,1,5,1,0.691,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,29,1,6,1,0.877,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,14,1,7,1,1.129,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,30,1,8,1,0.997,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,15,1,9,1,1.335,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,14,1,10,1,0.568,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,15,1,11,1,0.713,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,32,1,13,1,1.382,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,33,1,14,1,0.749,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,34,1,15,1,0.751,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,16,1,16,1,1.067,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,17,1,17,1,0.919,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,35,1,18,1,0.834,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,36,1,19,1,0.701,NA,NA,NA,NA,NA,NA,NA,2
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,37,1,20,1,0.633,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,16,1,21,0,1.013,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,38,1,22,1,0.783,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,18,1,23,1,0.719,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,39,1,24,1,0.755,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,17,1,25,1,0.813,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,18,1,26,1,0.819,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,40,1,27,1,1.482,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,41,1,28,0,0.948,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,42,1,29,1,0.734,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,19,1,30,1,0.852,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1911,RuleFollowing,19,1,31,1,1.1,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,20,1,32,1,0.594,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,21,1,33,1,0.684,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,43,1,34,1,0.735,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,20,1,35,0,0.919,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1199,Exception,21,1,36,0,1.046,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9991,Prototype,44,1,37,1,0.85,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,9119,RuleFollowing,22,1,38,0,0.752,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,45,1,39,0,0.706,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,9191,RuleFollowing,23,1,40,1,1.383,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9919,RuleFollowing,24,1,41,0,0.951,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,22,1,42,1,0.818,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,23,1,43,0,0.785,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,46,1,44,1,0.947,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,47,1,45,1,0.952,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1991,Exception,24,1,46,0,1.352,NA,NA,NA,NA,NA,NA,NA,1
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,48,1,47,1,0.743,NA,NA,NA,NA,NA,NA,NA,3
{{181}},SONA,F,20.1,Early,Learn,1111,Prototype,49,2,0,1,0.976,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,9999,Prototype,50,2,1,1,1.853,NA,NA,NA,NA,NA,NA,NA,4
{{181}},SONA,F,20.1,Early,Learn,1119,Prototype,51,2,2,1,0.936,NA,NA,NA,NA,NA,NA,NA,4
